Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-18 Rutgers vs American,4553.5,8.0,American Shots,50,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,4651.622,8.0,American Shots,51,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Floater,,,,,,,,
2025-11-18 Rutgers vs American,4901.533,8.0,American Shots,52,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,5261.236,8.0,American Shots,53,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,5356.143,8.0,American Shots,54,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,5-0,,Blocked,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,5386.809,8.0,American Shots,55,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Close Shot Right,Layup,,,,,,,,
2025-11-18 Rutgers vs American,5452.698,8.0,American Shots,56,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,5511.307,8.0,American Shots,57,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,5512.727,8.0,American Shots,58,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Putback,,,,,,,,
2025-11-18 Rutgers vs American,5665.708,8.0,American Shots,59,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,5711.293,8.0,American Shots,60,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2025-11-18 Rutgers vs American,5761.987,8.0,American Shots,61,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-18 Rutgers vs American,6127.431,8.0,American Shots,62,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Top of Key 3,Pullup,,,,,,,,
2025-11-18 Rutgers vs American,6269.014,8.0,American Shots,63,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Close Shot Right,Layup,,,,,,,,
2025-11-18 Rutgers vs American,6416.992,8.0,American Shots,64,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Blocked,Close Shot Right,Fadeaway,,,,,,,,
2025-11-18 Rutgers vs American,6631.59,8.0,American Shots,65,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,6753.843,8.0,American Shots,66,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Top of Key 3,Pullup,,,,,,,,
2025-11-18 Rutgers vs American,6831.795,8.0,American Shots,67,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,6886.098,8.0,American Shots,68,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Left Wing 3,Step Back,,,,,,,,
2025-11-18 Rutgers vs American,6891.238,8.0,American Shots,69,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,6894.929,8.0,American Shots,70,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,6951.763,8.0,American Shots,71,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,N/A,,Highly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-18 Rutgers vs American,7022.079,8.0,American Shots,72,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,N/A,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
