Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-10 American vs Holy Cross,4850.98,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Step Back,,,,,,,,
2026-01-10 American vs Holy Cross,5085.756,8.0,American Shots,48,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,5173.149,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Blocked,Close Shot Right,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,5191.056,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,5302.194,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,5634.076,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-10 American vs Holy Cross,5636.5,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,5640.958,8.0,American Shots,54,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Putback,,,,,,,,
2026-01-10 American vs Holy Cross,5716.375,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,5971.555,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-10 American vs Holy Cross,6370.824,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,6784.159,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,7011.222,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Wing 3,Step Back,,,,,,,,
2026-01-10 American vs Holy Cross,7052.077,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,7126.997,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Highly Contested,Left Corner 3,Step Back,,,,,,,,
2026-01-10 American vs Holy Cross,7181.726,8.0,American Shots,62,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-10 American vs Holy Cross,7251.141,8.0,American Shots,63,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Top of Key 3,Pullup,,,,,,,,
